ac_key,chassis_id,requested_date,machine_salesmodel,fault_code,description,state,correction,cause,cause_local_language,complaint,complaint_local_language,machine_hours
AC0818296,L90H0138,2024-10-16T07:41:19Z,L90H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,Closed,customer gave no details,,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17271141 (PRESSURE SENSOR) 11383002 (ELECTRONIC UNIT) 15188954 (RETURN VALVE) 15081288 (CONTROL VALVE) 15097478 (SOLENOID COIL)ADDITIONAL INFORMATION : Other CT errors


Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L90H013383
C101C00
Brake Pressure Leakage: Unknown
5


L90H013383
P000F00
Fuel System Over Pressure Relief ","Descrição(ões) do DTC: Descrição do alarme de erroC101C00 - Unidade de Controle Eletrônico de Máquina de Uso Geral 1 - Vazamento de Pressão de FreioLink da prosisDica: 17271141 (SENSOR DE PRESSÃO) 11383002 (UNIDADE ELETRÔNICA) 15188954 (VÁLVULA DE RETORNO) 15081288 (VÁLVULA DE CONTROLE) 15097478 (BOBINA SOLENÓIDE)INFORMAÇÕES ADICIONAIS : Outros erros de TC


ID do chassi*
Formato de falha 1
Tipo de erro/alarme
Nº de erros


L90H013383
C101C00
Vazamento de pressão de freio: Desconhecid",8042
AC0825262,L220H0518,2024-10-22T09:06:12Z,L220H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,In Progress,"22/10/24 : BUFFIERE allo Serge RUMIANO 06-03-37-21-75, appointment for diagnostic intervention on 23/10/24.",,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP) 17235160 (CONTROL UNIT) 17271141 (PRESSURE SENSOR)SOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors


Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L220H005187
C101C00
Brake Pressure Leakage: No additional information
3


L220H005187
C104607","DESCRIPTION DU DTC : Description de l’alarme d’erreurC101C00 - Unité de commande électronique de machine à usage général 1 - Fuite de pression de freinageLien ProsisAstuce :17201756 (POMPE HYDRAULIQUE) 17235160 (UNITÉ DE COMMANDE) 17271141 (CAPTEUR DE PRESSION)LOGICIEL : Nouveau logiciel disponible, veuillez mettre à jour vers la dernière versionINFORMATIONS COMPLÉMENTAIRES : Autres erreurs CT


ID du châssis*
Format d’erreur 1
Type d’erreur/d’alarme
Nombre d’erreurs


L220H005187
C101",7465
AC0829233,L220H0518,2024-10-25T06:31:33Z,L220H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,Closed,"Error code observed during our intervention of 23/10/24 - OR24100382.
Establishment estimate N°23108033 communicated to Serge RUMIANO 06-03-37-21-75 on 23/10/24.
Accumulators, brake system + valve and pressure sensor.
=> No sales order as of 25/10/24.",,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP) 17235160 (CONTROL UNIT) 17271141 (PRESSURE SENSOR)SOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors    


Chassis Id*
Priority
Fault Format 1
Type of Error/Alarm
No of Errors


L220H005187
1
C101C00
Brake Pressure Leakage: No additional information
13


L22","DESCRIPTION DU DTC : Description de l’alarme d’erreurC101C00 - Unité de commande électronique de machine à usage général 1 - Fuite de pression de freinageLien ProsisAstuce :17201756 (POMPE HYDRAULIQUE) 17235160 (UNITÉ DE COMMANDE) 17271141 (CAPTEUR DE PRESSION)LOGICIEL : Nouveau logiciel disponible, veuillez mettre à jour vers la dernière versionINFORMATIONS COMPLÉMENTAIRES : Autres erreurs CT   


ID du châssis*
Priorité
Format d’erreur 1
Type d’erreur/d’alarme
Nombre d’erreurs


L220",7487
AC0844313,L150H0482,2024-11-08T12:31:51Z,L150H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,Awaiting Acknowledgement,,,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP)SOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


L150H014820
RW007
Recommended
250846
Machines delivered with WE","DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP)SOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


L150H014820
RW007
Recommended
250846
Machines delivered with WE",17877
AC0848234,L90H0138,2024-11-12T14:37:02Z,L90H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,Closed Incomplete,,,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17271141 (PRESSURE SENSOR) 11383002 (ELECTRONIC UNIT) 15188954 (RETURN VALVE) 15081288 (CONTROL VALVE) 15097478 (SOLENOID COIL)ADDITIONAL INFORMATION : Other CT errors


Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L90H013383
C101C00
Brake Pressure Leakage: No additional information
6


L90H013383
P101400
Unknown: No add","Descrição(ões) do DTC: Descrição do alarme de erroC101C00 - Unidade de Controle Eletrônico de Máquina de Uso Geral 1 - Vazamento de Pressão de FreioLink da prosisDica: 17271141 (SENSOR DE PRESSÃO) 11383002 (UNIDADE ELETRÔNICA) 15188954 (VÁLVULA DE RETORNO) 15081288 (VÁLVULA DE CONTROLE) 15097478 (BOBINA SOLENÓIDE)INFORMAÇÕES ADICIONAIS : Outros erros de TC


ID do chassi*
Formato de falha 1
Tipo de erro/alarme
Nº de erros


L90H013383
C101C00
Vazamento de pressão de freio: Nenhuma inf",8150
AC0856075,L150H0482,2024-11-19T16:45:44Z,L150H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,In Progress,,,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP)SOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


L150H014820
RW007
Recommended
250846
Machines delivered with WE","DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP)SOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


L150H014820
RW007
Recommended
250846
Machines delivered with WE",18072
AC0862954,A25G3559,2024-11-26T11:07:57Z,A25G,MID142PSID4FMI5,W-ECU - GPS module/interface: Current below normal or open circuit,In Progress,,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID142 PSID4 FMI5 - W-ECU - GPS module/interface: Current below normal or open circuit Prosis linkFault active for more than 2 daysADDITIONAL INFORMATION : Other CT errors


Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


A25G352599
MID187PID1388PIDTYPE0FMI14
Operator seat belt indication: Special instructions
6


A25G352599
MID187PID70PIDTYPE2FMI14
Parking brake switch, status: Special instructions
3


A25G352599
MID","DESCRIPTION DU DTC : Description de l’alarme d’erreurMID142 PSID4 FMI5 - W-ECU - Module/interface GPS : Courant inférieur à la normale ou circuit ouvertLien ProsisDéfaut actif pendant plus de 2 joursINFORMATIONS COMPLÉMENTAIRES : Autres erreurs CT


ID du châssis*
Format d’erreur 1
Type d’erreur/d’alarme
Nombre d’erreurs


A25G352599
MID187PID1388PIDTYPE0FMI14
Indication de la ceinture de sécurité de l’opérateur : Instructions spéciales
6


A25G352599
MID187PID70PIDTYPE2FMI14
Co",370
AC0863021,L150H0482,2024-11-26T12:14:42Z,L150H,C101C00,General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage,In Progress,,,,"DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP)SOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


L150H014820
RW007
Recommended
250846
Machines delivered with WE","DTC DESCRIPTION(S): Error Alarm descriptionC101C00 - General Purpose Machine Electronic Control Unit 1 - Brake Pressure Leakage Prosis linkHint:17201756 (HYDRAULIC PUMP)SOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


L150H014820
RW007
Recommended
250846
Machines delivered with WE",18198
AC0866675,A40G3247,2024-11-30T07:52:07Z,A40G,MID142PSID4FMI5,W-ECU - GPS module/interface: Current below normal or open circuit,In Progress,,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID142 PSID4 FMI5 - W-ECU - GPS module/interface: Current below normal or open circuit Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest version","DESKRIPSI DTC: Deskripsi Alarm KesalahanMID142 PSID4 FMI5 - W-ECU - Modul/antarmuka GPS: Arus di bawah sirkuit normal atau terbukaTautan prosisKesalahan aktif selama lebih dari 2 hariPERANGKAT LUNAK: Perangkat lunak baru tersedia, harap perbarui ke versi terbaru",12541
AC0867438,A60H3210,2024-12-01T21:33:49Z,A60H,MID142PSID4FMI5,W-ECU - GPS module/interface: Current below normal or open circuit,In Progress,,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID142 PSID4 FMI5 - W-ECU - GPS module/interface: Current below normal or open circuit Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest version","DESKRIPSI DTC: Deskripsi Alarm KesalahanMID142 PSID4 FMI5 - W-ECU - Modul/antarmuka GPS: Arus di bawah sirkuit normal atau terbukaTautan prosisKesalahan aktif selama lebih dari 2 hariPERANGKAT LUNAK: Perangkat lunak baru tersedia, harap perbarui ke versi terbaru",20369
