ac_key,chassis_id,requested_date,machine_salesmodel,fault_code,description,state,correction,cause,cause_local_language,complaint,complaint_local_language,machine_hours
AC0256150,L220H0506,2022-05-06T06:54:21Z,L220H,P20B113,P20B113 - Aftertreatment Control Module - Reductant Heater Coolant Control Valve Control: Circuit open,Closed,Deactivation of the service requested by the customer,,,"DTC DESCRIPTION(S): Error Alarm descriptionP20B113 - P20B113 - Aftertreatment Control Module - Reductant Heater Coolant Control Valve Control: Circuit open Prosis linkHint:22900346 (PUMP) 22733669 (VALVE) 22608244 (PUMP) 21687882 (VALVE)SOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors


Chassis Id*
Priority
Fault Format 1
Type of Error/Alarm
No of Errors


L220H005066
1
C101600
Secondary Steering Pump Malfunction: Unknown
61","DESCRIZIONE(I) DTC: Descrizione dell'allarme di erroreP20B113 - P20B113 - Modulo di controllo post-trattamento - Controllo valvola di controllo del refrigerante del riscaldatore riducente: Circuito apertoCollegamento ProsisSuggerimento: 22900346 (POMPA) 22733669 (VALVOLA) 22608244 (POMPA) 21687882 (VALVOLA)SOFTWARE: Nuovo software disponibile, si prega di aggiornare all'ultima versioneINFORMAZIONI AGGIUNTIVE : Altri errori CT


ID telaio*
Priorità
Formato errore 1
Tipo di errore/allarme
N",6710
AC0064499,L70F0219,1900-01-01T00:00:00Z,L70F,MID128PID111FMI1,Coolant level: Data valid but below operational range,Closed,CUSTOMER ADDED COOLANT AND ITS OK NOW,,,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID111 FMI1 - Coolant level: Data valid but below operational range-,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID111 FMI1 - Coolant level: Data valid but below operational range-,0
AC0434431,A30G3483,2023-06-14T11:35:52Z,A30G,MID187PSID202FMI9,"MID187 PSID202 FMI9 - Vehicle Control Unit - Data link, MID140: Abnormal update rate",Closed,"Unscheduled intervention

Software update completed successfully",,,"DTC DESCRIPTION(S): Error Alarm descriptionMID187 PSID202 FMI9 - MID187 PSID202 FMI9 - Vehicle Control Unit - Data link, MID140: Abnormal update rate Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


A30G342837
MID140PID200PIDTYPE1FMI9
Data Link, MID128: Abnormal update rate
2


A30G342837
MID140PID214PIDTYPE1FMI9
D","DESCRIPTION(S) DTC : Description de l’alarme d’erreurMID187 PSID202 FMI9 - MID187 PSID202 FMI9 - Unité de commande du véhicule - Liaison de données, MID140 : Taux de mise à jour anormalLien ProsisDéfaut actif depuis plus de 2 joursLOGICIEL: Nouveau logiciel disponible, veuillez mettre à jour vers la dernière versionINFORMATIONS COMPLEMENTAIRES : Autres erreurs CT



ID du châssis*
Format d’erreur 1
Type d’erreur/alarme
Nombre d’erreurs


A30G342837
MID140PID200PIDTYPE1FMI9
Liaison de",6015
AC0778277,A40E0196,2024-09-06T06:27:46Z,A40E,MID128SID1FMI7,Engine ECU - Injector #1: Mechanical system not responding properly,Closed,Customer denied service,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID128 SID1 FMI7 - Engine ECU - Injector #1: Mechanical system not responding properly Prosis linkSOFTWARE: Unknown software version. Please check with Techtool and update if available during next machine visitADDITIONAL INFORMATION : Other CT errors


Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


A40E011961
MID128PID1PIDTYPE3FMI7
Injector #1: Mechanical system not responding properly
5


A40E011961
MID187PID1411PIDTYPE0F","DTC DESCRIPCIÓN(ES): Descripción de la alarma de errorMID128 SID1 FMI7 - ECU del motor - Inyector #1: El sistema mecánico no responde correctamenteEnlace de prosisSOFTWARE: Versión de software desconocida. Consulte con Techtool y actualice si está disponible durante la próxima visita a la máquinaINFORMACIÓN ADICIONAL : Otros errores de TC


ID del chasis*
Formato de falla 1
Tipo de error/alarma
Nº de errores


A40E011961
MID128PID1PIDTYPE3FMI7
Inyector #1: El sistema mecánico no respo",17227
AC0601001,L150H0908,2024-02-27T14:21:22Z,L150H,C101600,General Purpose Machine Electronic Control Unit 1 - Secondary Steering Pump Malfunction,Closed,"In the absence of a response from the client, we cancelled the case.",,,"DTC DESCRIPTION(S): Error Alarm descriptionC101600 - General Purpose Machine Electronic Control Unit 1 - Secondary Steering Pump Malfunction Prosis linkHint:15165818 (PUMP UNIT) 17468119 (ELECTRO-HYDRAULIC PUMP) 11445059 (PRESSURE MONITOR) 1594043 (SWITCH)SOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L150H019088
C104507
Central Lubrication Main Line Channel A, ","DTC DESCRIPCIÓN(ES): Descripción de la alarma de errorC101600 - Unidad de control electrónico de la máquina de uso general 1 - Mal funcionamiento de la bomba de dirección secundariaEnlace de prosisSugerencia: 15165818 (UNIDAD DE BOMBA) 17468119 (BOMBA ELECTROHIDRÁULICA) 11445059 (MONITOR DE PRESIÓN) 1594043 (INTERRUPTOR)SOFTWARE: Nuevo software disponible, actualice a la última versiónINFORMACIÓN ADICIONAL : Otros errores de TC



ID del chasis*
Formato de falla 1
Tipo de error/alarma
Nº ",1625
AC0053929,L70H6294,1900-01-01T00:00:00Z,L70H,U02A200,Lost Communication with Reductant Quality Module,Closed,Customer advises that there is no issue,,,DTC DESCRIPTION(S): Error Alarm descriptionU02A200 - Lost Communication with Reductant Quality Module-,DTC DESCRIPTION(S): Error Alarm descriptionU02A200 - Lost Communication with Reductant Quality Module-,0
AC0117560,A60H3507,1900-01-01T00:00:00Z,A60H,MID128PID98FMI1,Engine oil level: Data valid but below operational range,Closed,Tech has been dispatched for diag and repair,,,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID98 FMI1 - Engine oil level: Data valid but below operational range-,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID98 FMI1 - Engine oil level: Data valid but below operational range-,0
AC0075692,C480E3036,1900-01-01T00:00:00Z,EC480E,P113472,Exhaust Aftertreatment Fuel Air Purge Valve: Actuator stuck open | Exhaust Aftertreatment Fuel Air Purge Valve: Actuator stuck open,Closed,waiting on customer to down machine to make repairs,,,"DTC DESCRIPTION(S): Error Alarm descriptionP113472 - Exhaust Aftertreatment Fuel Air Purge Valve: Actuator stuck open | Exhaust Aftertreatment Fuel Air Purge Valve: Actuator stuck open-,-","DTC DESCRIPTION(S): Error Alarm descriptionP113472 - Exhaust Aftertreatment Fuel Air Purge Valve: Actuator stuck open | Exhaust Aftertreatment Fuel Air Purge Valve: Actuator stuck open-,-",0
AC0091651,L70H6227,1900-01-01T00:00:00Z,L70H,P100312,Front Axle Oil Temperature Sensor Circuit: Circuit short to battery,Closed,no reprot at this time,,,DTC DESCRIPTION(S): Error Alarm descriptionP100312 - Front Axle Oil Temperature Sensor Circuit: Circuit short to battery-,DTC DESCRIPTION(S): Error Alarm descriptionP100312 - Front Axle Oil Temperature Sensor Circuit: Circuit short to battery-,0
AC0591091,L60G0001,2024-02-14T14:06:46Z,L60G,MID128PPID270FMI5,Engine ECU - NOx Sensor Gas Outlet: Current below normal or open circuit,Closed,Hablamos con Jose Antonio y nos dice que conocen el fallo pero no quieren reparar. Tienen varias cosas anuladas en la máquina.,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID128 PPID270 FMI5 - Engine ECU - NOx Sensor Gas Outlet: Current below normal or open circuit Prosis linkSOFTWARE: Unknown software version. Please check with Techtool and update if available during next machine visitADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L60G002015
MID128PID270PIDTYPE0FMI13
NOx Sensor Gas Outlet: Calibration value out of range
45


L60G002015
MID128PID","DTC DESCRIPCIÓN(ES): Descripción de la alarma de errorMID128 PPID270 FMI5 - ECU del motor - Sensor de NOx Salida de gas: Corriente por debajo de lo normal o circuito abiertoEnlace de prosisSOFTWARE: Versión de software desconocida. Consulte con Techtool y actualice si está disponible durante la próxima visita a la máquinaINFORMACIÓN ADICIONAL : Otros errores de TC



ID del chasis*
Formato de falla 1
Tipo de error/alarma
Nº de errores


L60G002015
MID128PID270PIDTYPE0FMI13
Salida de ",26402
