ChassisId,Timestamp,PresNo,MeasureName,ValueNumber,DatasetNumber,Unit,MeasureValue,MeasureValueDelta,LogHours,MachineHours,Color,Source,Type,load_datetime
A60H3210,2025-01-13T01:34:35Z,5010,Average carry back per cycle,2,1,Total Cycles CT,18466.0,0.0,15708.334166666667,20743.5,,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,646,Brake Usage (%),2,1,Retarder activated,23.61524433216236,14.295081967213113,15757.655,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,646,Brake Usage (%),3,1,Service brake activated,50.52113224913848,69.83606557377048,15757.655,20743.5,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,1054,"Engine coolant temperature, distribution (%)",2,1,75-97,97.80846232272792,94.7765775631772,15690.530555555555,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,1054,"Engine coolant temperature, distribution (%)",3,1,98-103,0.3113519814056284,1.485058157864171,15690.530555555555,20743.5,Yellow,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,3041,HVAC Auto - Manual mode selection distribution (%),2,1,Manual,87.04121631742932,97.17721751024064,14169.3275,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,636,"Hydraulic oil, temperature distribution (h)",2,1,30-70,4472.825,40.53611111111111,15762.453055555556,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,636,"Hydraulic oil, temperature distribution (h)",3,1,70-90,10453.052777777775,110.2,15762.453055555556,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,3073,Idle time before shut down (%),2,1,10-30,21.52032999410725,16.733067729083665,15686.976111111111,20743.5,Red,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,3073,Idle time before shut down (%),3,1,30-60,8.980553918680023,8.366533864541832,15686.976111111111,20743.5,Yellow,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.12318431078799,85.73064964817542,15757.862777777778,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,1172,Machine utilization (%),3,1,Gear engaged,63.53987001455149,64.17720174227132,15757.83222222222,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,5000,Overloaded cycles (%),2,1,Total Cycles CT,18466.0,0.0,15708.608333333334,20743.5,,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,591,"Service brake cooling oil, first bogie axle temperature",2,1,>0-20,0.0,0.0,15757.868888888888,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,591,"Service brake cooling oil, first bogie axle temperature",3,1,>20-40,403.4508333333333,3.9469444444444446,15757.868888888888,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,590,"Service brake cooling oil, front axle temperature",2,1,>0-20,0.0,0.0,15715.859722222222,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,590,"Service brake cooling oil, front axle temperature",3,1,>20-40,325.0513888888889,2.413611111111111,15715.859722222222,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,592,"Service brake cooling oil, second bogie axle temperature",2,1,>0-20,0.0,0.0,15757.868611111113,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,592,"Service brake cooling oil, second bogie axle temperature",3,1,>20-40,400.0177777777778,3.851944444444445,15757.868611111113,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T01:34:35Z,616,"Transmission oil, temperature distribution (%)",2,1,0-<30,0.0606778837550961,0.0378987608752966,15762.641111111112,20743.5,Green,WECU,graph,2025-03-18T09:08:06.369Z
