case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3166533,2021-11-04T15:29:23Z,L120H,2698,22336268,INJECTOR,Low engine oil pressure warning and error on the fuel injection system.,P052400 Engine Oil Pressure Too Low - No Sub Type Information,null,"We found engine oil level to high. Fuel leaked into the lubrication system.
We plugged the fuel lines to the injectors one by one and noticed that when plugging the fuel line to injector cilinder no1 the error code P228F00 went away. So this way we discovered that the injector cilinder no1 was the problem. We replaced the injector and that solved the problem.
We put some pressure on the injector and could see it start leaking at 350 bar. See attached movie.",null,null,Thank you for the information. First time ever I see a leak at that area.Replace injector p/n VOE22336268.,null,Injector cracked.,null,null,Closed,VOE22336268,237 Injector; delivery pipe,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P052400""]"
TS3166533,2021-11-04T15:29:23Z,L120H,2698,22336268,INJECTOR,Low engine oil pressure warning and error on the fuel injection system.,P228F00 Fuel Pressure Regulator Exceeded Learning Limits - Too High - No Sub Type Information,null,"We found engine oil level to high. Fuel leaked into the lubrication system.
We plugged the fuel lines to the injectors one by one and noticed that when plugging the fuel line to injector cilinder no1 the error code P228F00 went away. So this way we discovered that the injector cilinder no1 was the problem. We replaced the injector and that solved the problem.
We put some pressure on the injector and could see it start leaking at 350 bar. See attached movie.",null,null,Thank you for the information. First time ever I see a leak at that area.Replace injector p/n VOE22336268.,null,Injector cracked.,null,null,Closed,VOE22336268,237 Injector; delivery pipe,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P228F00""]"
TS3007468,2018-10-04T09:26:35Z,L120H,4362,17424313,null,"Adblue quality is 63% and error code active. Engine derate soon.
 
",P206A02 Reductant Quality - General Signal Failure,null,"We removed the errorcodes and performed a reset on the quality and tampering timers. This didn't solve the problem. We finally replaced the Adblue tank meter. We need a SPC on this unit.
 
",null,null,"Hello Sjoerd, Thanks for the information. Next time you have a machine with P206A02 or P206A84 I would like you to try a few things before armature is replaced, 1.            Drain AdBlue tank 2.            Fill up with new AdBlue, read out value with Techtool. 3.            Operate machine for at least 1 (one) hour read out value again with Techtool.   If sensor value still show 63% after these things have been done I would suggest to replace armature. Reason for this is procedure is mainly due to how our SW is built up. Key on normally trigger a new reading from the AdBlue quality sensor but not always (a lot of different criteria’s need to be fulfilled). Another thing and specially on our smaller platform is to always try and have AdBlue level as high as possible (Low AdBlue level can also trigger P206A02 or P206A84). /David Dujmovic
 
",null,"Contact fault in the Adblue tank unit
 
",null,null,Closed,VOE17424313,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Processing low density bulk-material,"[""P206A02""]"
TS3007468,2018-10-04T09:26:35Z,L120H,4362,17424313,null,"Adblue quality is 63% and error code active. Engine derate soon.
 
",P206A02 Reductant Quality - General Signal Failure,null,"We removed the errorcodes and performed a reset on the quality and tampering timers. This didn't solve the problem. We finally replaced the Adblue tank meter. We need a SPC on this unit.
 
",null,null,"Hello Sjoerd, Thanks for the information. Next time you have a machine with P206A02 or P206A84 I would like you to try a few things before armature is replaced, 1.            Drain AdBlue tank 2.            Fill up with new AdBlue, read out value with Techtool. 3.            Operate machine for at least 1 (one) hour read out value again with Techtool.   If sensor value still show 63% after these things have been done I would suggest to replace armature. Reason for this is procedure is mainly due to how our SW is built up. Key on normally trigger a new reading from the AdBlue quality sensor but not always (a lot of different criteria’s need to be fulfilled). Another thing and specially on our smaller platform is to always try and have AdBlue level as high as possible (Low AdBlue level can also trigger P206A02 or P206A84). /David Dujmovic
 
",null,"Contact fault in the Adblue tank unit
 
",null,null,Closed,VOE17424313,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Processing low density bulk-material,"[""P206A02""]"
TS3007468,2018-10-04T09:26:35Z,L120H,4362,17424313,null,"Adblue quality is 63% and error code active. Engine derate soon.
 
",P206A02 Reductant Quality - General Signal Failure,null,"We removed the errorcodes and performed a reset on the quality and tampering timers. This didn't solve the problem. We finally replaced the Adblue tank meter. We need a SPC on this unit.
 
",null,null,"Hello Sjoerd, Thanks for the information. Next time you have a machine with P206A02 or P206A84 I would like you to try a few things before armature is replaced, 1.            Drain AdBlue tank 2.            Fill up with new AdBlue, read out value with Techtool. 3.            Operate machine for at least 1 (one) hour read out value again with Techtool.   If sensor value still show 63% after these things have been done I would suggest to replace armature. Reason for this is procedure is mainly due to how our SW is built up. Key on normally trigger a new reading from the AdBlue quality sensor but not always (a lot of different criteria’s need to be fulfilled). Another thing and specially on our smaller platform is to always try and have AdBlue level as high as possible (Low AdBlue level can also trigger P206A02 or P206A84). /David Dujmovic
 
",null,"Contact fault in the Adblue tank unit
 
",null,null,Closed,VOE17424313,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Processing low density bulk-material,"[""P206A02""]"
TS3097929,2020-07-13T11:23:21Z,L60H,1597,17447069,LEDNINGSMATTA,"Error code P203164 Exhaust temperature sensor unreasonable value.
 
",P203164,"Felkod P203164
Avgastempgivare orimligt värde.","Replacing the cable tangle VOE17447069.
 
",Byte av kabelhärva VOE17447069.,null,Changed cable hardened VOE17447069.The machine has been running flawlessly since then.,"Hej Emil.

Tack för informationen.

Vi kan avsluta fallet då.

Br Andreas H Börstell","issue in harness VOE17447069.
 
","Bytt kabelhärvan VOE17447069.
Maskinen har gått felfritt sedan dess.
",null,Closed,VOE17447069,371 Cable; battery disconnector,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P203164""]"
TS3280567,2023-06-07T06:59:12Z,L150H,6031,16312195,WIRING HARNESS,This machine has a long history of generating fault code P203A11 and sometimes also P206A11.,P206A11 Reductant Quality - Circuit Short To Ground,null,"We tried new Adblue tank units and ACM and checked the wirings and can busses. But we can't find anything wrong.
Is this a failure you have seen often. I found one case  that has been solved with replacing cable harness 16312195.
I suspect a splitting point issue , can you tell me which one?
Machine has also low level warnings on coolant while level is alright, low engine oil level warnings while the level is alright. Fuel level is low while tank is full. ",null,null,We first replaced the cable harness and additional the Adbleu tank unit.,null,Cable harness and Adblue tank unit.,null,null,Closed,VOE16312195,"370 General, common info about 371 - 379",05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A11""]"
TS3280567,2023-06-07T06:59:12Z,L150H,6031,16312195,WIRING HARNESS,This machine has a long history of generating fault code P203A11 and sometimes also P206A11.,"P203A11 Reductant Level Sensor """"A"""" - Circuit Short To Ground",null,"We tried new Adblue tank units and ACM and checked the wirings and can busses. But we can't find anything wrong.
Is this a failure you have seen often. I found one case  that has been solved with replacing cable harness 16312195.
I suspect a splitting point issue , can you tell me which one?
Machine has also low level warnings on coolant while level is alright, low engine oil level warnings while the level is alright. Fuel level is low while tank is full. ",null,null,We first replaced the cable harness and additional the Adbleu tank unit.,null,Cable harness and Adblue tank unit.,null,null,Closed,VOE16312195,"370 General, common info about 371 - 379",05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P203A11""]"
TS3064427,2019-11-01T14:29:38Z,L70H,2645,17483620,null,Error SCR system. Engine derates.,P206A11 Reductant Quality - Circuit Short To Ground,null,"We removed the extra counter weight and replaced the adblue tank, because the adblue tank level sensor was not available. This solved the problem.",null,null,"Hello Sjoerd Anne,
Thank you for sharing this information with us.
_________________________________________________
David Dujmovic
Technical Product Specialist, WLO

We removed the extra counter weight and replaced the adblue tank, because the adblue tank level sensor was not available. This solved the problem.",null,Adblue tank level sensor contact fault.,null,null,Closed,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Recycling - General waste and scrap handling,"[""P206A11""]"
TS3351200,2024-02-14T14:55:27Z,L70H,11748,22236678,SENSOR,"unit displays 200085 code.
derates engine ",p200085 nox  level moderate high,null,this has had a cronic issue with derating from this code. we have changed the nox sensor and have cleaned the EGR diffenchal presser passages twice in the last few months. unit is creating alot of soot . we have checked the turbo for problems no issues found.  ,null,null,null,null,null,null,null,Closed,VOE22236678,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,Processing low density bulk-material,"[""P200085""]"
TS3063701,2019-10-30T09:35:42Z,L60H,1759,17474563,null,"Engine derates, adblue quality sensor failure. 
P206A02",P206A02 Reductant Quality - General Signal Failure,null,We measured the actual quality with a refractometer and the quality of the adblue was 33%. We updated the software and reset the quality and tempering timers and drained the adblue tank and refilled it slowly. But this didn't solve the problem. We finally removed the adblue tank to change the adblue tank level sensor.,null,null,null,null,Adblue tank level sensor quality sensor contact fault.,null,null,Accept/Reject,VOE17474563,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Grading,"[""P206A02""]"
